,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
GGPS3,GGPS3,ON NM,GPS ON NM,Serviços Diversos,Serviços Diversos,14.46,2022-01-25,11.91,19.76,28796000,9651920000,9644010000,2021-09-30,667491000,000,445,-,-,174,668,-2128,1.3%,-,-,-,000,325,-,-,-,0.0%,-,-,197,062,-,5554120000,1359920000,2932100000,1352010000,-7910020,2166720000,0,0,0,1658910000,165423000,99298000,,,,,,
GLOB4,GLOB4,PN,VIA PN,Comércio,Eletrodomésticos,30.49,2008-02-18,0.00,0.00,0,48736000000,57175000000,2021-09-30,1598430000,487360,859,4691,151,139,-6321,-459,0.0%,2877,5503,5.3%,001,355,30.6%,3.2%,0.0%,3.0%,3.9%,0.2%,096,176,092,35089000000,1575000000,18789000000,10014000000,8439000000,5675000000,32242000000,1039000000,10000000,7349000000,-397000000,-638000000,,,,,,
GMAT3,GMAT3,ON NM,GRUPO MATEUS ON NM,Comércio e Distribuição,Alimentos,5.95,2022-01-25,5.52,8.96,24648000,13145600000,13531500000,2021-09-30,2209350000,1754,212,1398,087,143,283,402,0.0%,1137,1439,-,034,281,23.6%,6.2%,5.0%,10.2%,13.1%,12.1%,396,022,164,9205960000,959079000,6206470000,1345020000,385939000,6197320000,15081000000,940483000,749287000,4349130000,314581000,209911000,,,,,,
GNDI3,GNDI3,ON NM,INTERMEDICA ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,69.30,2022-01-25,55.49,98.39,269193000,42984100000,44930600000,2021-09-30,620261000,-371065,604,9011,354,246,8244,-643,0.4%,5258,9419,25.2%,-002,1147,18.5%,3.9%,-0.1%,2.7%,3.1%,-0.2%,117,053,069,17466000000,1832990000,3660280000,3779540000,1946550000,7116080000,12131600000,477037000,-11584000,3220490000,45370000,-90684000,,,,,,
GOAU3,GOAU3,ON N1,METALÚRGICA GERDAU ON N1,Siderurgia e Metalurgia,Siderurgia,10.05,2022-01-25,7.71,12.87,899570,10926800000,18054800000,2021-09-30,1087240000,267,073,067,016,014,046,370,23.1%,096,111,13.1%,376,1381,26.0%,23.2%,17.7%,21.2%,27.3%,27.3%,280,114,091,77003200000,9993010000,37087900000,17121100000,7128050000,15012200000,70410300000,16317800000,4093110000,21317100000,5887390000,1810360000,,,,,,
GOAU4,GOAU4,PN N1,METALÚRGICA GERDAU PN N1,Siderurgia e Metalurgia,Siderurgia,11.47,2022-01-25,8.63,13.70,91036600,12470700000,19598700000,2021-09-30,1087240000,305,083,076,018,016,052,422,20.2%,104,120,13.1%,376,1381,26.0%,23.2%,17.7%,21.2%,27.3%,27.3%,280,114,091,77003200000,9993010000,37087900000,17121100000,7128050000,15012200000,70410300000,16317800000,4093110000,21317100000,5887390000,1810360000,,,,,,
GOLL4,GOLL4,PN,GOL LINHAS AEREAS INTELIGENTES SA PN,Transporte,Transporte Aéreo,16.84,2022-01-25,14.80,27.59,102433000,6671690000,17337100000,2021-09-30,396181000,-152,-036,-296,104,051,-079,-023,0.0%,-1930,-770,-11.7%,-1109,-4614,1.1%,-35.2%,-67.4%,-17.4%,-22.4%,24.0%,025,-065,049,12955100000,1133300000,2768220000,11798700000,10665400000,-18279600000,6402370000,-2252670000,-4395390000,1915050000,-728907000,-2526730000,,,,,,
GPAR3,GPAR3,ON,CELGPAR ON,Energia Elétrica,Energia Elétrica,41.52,2022-01-18,40.02,91.31,101,3235570000,3095070000,2021-09-30,77928000,1931,210,1707,1547,153,898,-2459,1.2%,1633,1633,-1.9%,215,1976,114.0%,90.6%,80.1%,9.0%,10.1%,10.9%,532,006,010,2115290000,238971000,443999000,98470000,-140501000,1539700000,209175000,189510000,167543000,18413000,-11194000,2792000,,,,,,
GPIV33,GPIV33,DR3,"GP INVESTMENTS, LTD DR3",Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,5.23,2022-01-25,3.51,7.55,294514,573971000,-452170000,2021-09-30,109746000,078,029,048,045,014,054,121,0.0%,-038,-038,55.2%,674,1791,100.0%,93.7%,86.7%,28.8%,40.1%,37.6%,679,006,031,4118070000,1135460000,1243400000,109321000,-1026140000,1965900000,1267610000,1187530000,739297000,331242000,316246000,330934000,,,,,,
GRND3,GRND3,ON,GRENDENE SA ON,"Tecidos, Vestuário e Calçados",Calçados,8.54,2022-01-25,6.38,12.16,13782700,7704450000,6218640000,2021-09-30,902160000,1134,189,1676,322,173,268,276,10.1%,1134,1353,-0.9%,075,452,45.0%,19.2%,28.4%,10.3%,16.4%,16.6%,1145,002,054,4441880000,1578070000,3149850000,92268000,-1485800000,4080980000,2389780000,459588000,679395000,671416000,120893000,208056000,,,,,,
GRNL4,GRNL4,PN,GRANÓLEO S/A PN,,,470.00,2008-02-12,0.00,0.00,0,100058000,97740300,2007-09-30,212890000,1109,107,-6472,723,098,804,1501,0.0%,-6322,-6322,21.5%,4237,43733,9.0%,-11.2%,65.2%,-1.5%,-1.7%,9.7%,435,005,013,102600000,7394000,16164000,5076000,-2318000,93104000,13837000,-1546000,9021000,292000,-284000,2140000,,,,,,
GSHP3,GSHP3,ON NM,Generalshopp ON NM,Exploração de Imóveis,Exploração de Imóveis,29.90,2022-01-25,29.90,54.95,14484,57670200,1614520000,2021-09-30,1928770,-091,-009,144,048,003,107,-003,0.0%,3757,4024,-21.0%,-3295,-33657,71.3%,33.3%,-52.8%,2.3%,2.8%,9.8%,116,-288,007,1756820000,311429000,387199000,1868280000,1556850000,-649166000,120315000,40124000,-63549000,36072000,16256000,-151657000,,,,,,
GUAR3,GUAR3,ON,GUARARAPES CONFECÇÕES ON,Comércio,"Tecidos, Vestuário e Calçados",11.22,2022-01-25,8.49,22.07,12240800,5601020000,7272410000,2021-09-30,499200000,1084,109,2038,081,041,204,-1586,3.9%,892,2646,1.2%,103,1034,51.0%,4.0%,7.4%,2.0%,2.5%,10.0%,152,068,051,13557600000,1829180000,8043180000,3500570000,1671390000,5161370000,6942900000,274890000,516544000,1815250000,65532000,207317000,,,,,,
GUAR4,GUAR4,PN,GUARARAPES CONFECÇÕES PN,Comércio,"Tecidos, Vestuário e Calçados",151.00,2019-02-06,0.00,0.00,0,75379200000,77050600000,2021-09-30,499200000,14593,1460,27422,1086,556,2742,-21351,0.0%,9451,28030,1.2%,103,1034,51.0%,4.0%,7.4%,2.0%,2.5%,10.0%,152,068,051,13557600000,1829180000,8043180000,3500570000,1671390000,5161370000,6942900000,274890000,516544000,1815250000,65532000,207317000,,,,,,
GVTT3,GVTT3,ON NM,GVT HOLDING ON NM,,,57.70,2010-05-10,0.00,0.00,0,7919090000,8143160000,2010-03-31,137246000,5738,368,2592,431,227,2182,-1843,0.0%,2665,2665,31.5%,101,1567,48.7%,16.6%,7.5%,8.8%,10.3%,6.4%,166,024,053,3491790000,283996000,911284000,508061000,224065000,2150790000,1836410000,305545000,138008000,513446000,105733000,32433000,,,,,,
HAGA3,HAGA3,ON,HAGA ON,Construção e Engenharia,Produtos para Construção,8.25,2022-01-25,2.85,9.00,515161,98175000,95312400,2021-09-30,11900000,978,-148,2139,218,155,434,-127,0.0%,1525,2076,14.0%,084,-557,31.2%,10.2%,22.3%,7.3%,17.8%,-15.1%,176,-049,071,63236000,35638600,52520900,32776100,-2862580,-66331300,45096100,4590710,10037000,11320400,1008160,1246230,,,,,,
HAGA4,HAGA4,ON,HAGA ON,Construção e Engenharia,Produtos para Construção,1.86,2022-01-25,1.76,3.85,200790,22134000,19271400,2021-09-30,11900000,221,-033,482,049,035,098,-029,0.0%,308,420,14.0%,084,-557,31.2%,10.2%,22.3%,7.3%,17.8%,-15.1%,176,-049,071,63236000,35638600,52520900,32776100,-2862580,-66331300,45096100,4590710,10037000,11320400,1008160,1246230,,,,,,
HAPV3,HAPV3,ON NM,HAPVIDA ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,12.02,2022-01-25,9.36,18.04,233081000,46776700000,46304300000,2021-09-30,3891570000,12013,441,8952,489,269,10549,-1522,0.3%,3208,8862,37.4%,010,273,31.1%,5.5%,4.1%,3.0%,3.6%,3.7%,114,019,055,17404300000,2534500000,3710510000,2062080000,-472415000,10615600000,9557970000,522519000,389385000,2558880000,34370000,43191000,,,,,,
HBOR3,HBOR3,ON,Helbor ON,Construção Civil,Incorporações,4.12,2022-01-25,3.82,10.76,4870810,551466000,1436480000,2021-09-30,133851000,520,041,774,055,013,030,116,1.2%,1627,2015,25.3%,079,1000,26.1%,7.1%,16.9%,1.7%,1.9%,7.9%,276,093,024,4252480000,361708000,2885980000,1246720000,885014000,1338550000,1004410000,71277000,106045000,283510000,29742000,22012000,,,,,,
HBRE3,HBRE3,ON NM,HBR REALTY ON NM,Exploração de Imóveis,Exploração de Imóveis,7.79,2022-01-25,6.53,18.90,583084,803842000,1260800000,2021-09-30,103189000,-1450,045,1162,1007,023,258,-104,0.0%,1806,1822,-,-054,1713,83.5%,86.7%,-78.3%,2.0%,2.4%,-3.1%,212,057,002,3420890000,553349000,588855000,1010310000,456958000,1767560000,79840000,69199000,-55443000,21354000,12002000,-5018000,,,,,,
HBSA3,HBSA3,ON NM,HIDROVIAS ON NM,Transporte,Transporte Hidroviário,2.94,2022-01-25,2.62,7.02,10808600,2235530000,6277820000,2021-09-30,760383000,-1944,157,1139,173,036,471,-060,0.0%,1248,3199,36.3%,-015,188,35.0%,15.2%,-8.9%,3.2%,3.5%,-8.1%,192,310,021,6174540000,384439000,992476000,4426730000,4042290000,1427680000,1290940000,196244000,-114998000,266810000,-15901000,-66893000,,,,,,
HBTS5,HBTS5,PNA,CIA HABITASUL PNA,Exploração de Imóveis,Exploração de Imóveis,45.12,2022-01-14,22.85,81.65,3889,412112000,469089000,2021-09-30,9133690,179,079,258,152,031,-463,-059,0.4%,292,293,51.9%,2515,5725,63.5%,58.9%,84.6%,11.9%,12.2%,43.9%,059,015,020,1345180000,23762000,126063000,80739000,56977000,522913000,271639000,159927000,229710000,61702000,26624000,140896000,,,,,,
HETA3,HETA3,ON,HERCULES S/A ON,Utilidades Domésticas,Utensílios Domésticos,96.00,2021-09-14,28.07,180.00,0,48960000,373542000,2021-09-30,510000,-028,-009,7452,2109,424,-068,-009,0.0%,56856,56856,-5.5%,-34266,-109294,100.0%,28.3%,-7526.2%,5.7%,5.7%,31.4%,001,-058,020,11547000,0,524000,324582000,324582000,-557401000,2322000,657000,-174758000,869000,820000,-496000,,,,,,
HETA4,HETA4,PN,HERCULES S/A PN,Utilidades Domésticas,Utensílios Domésticos,7.92,2022-01-25,7.51,17.44,120119,4039200,328621000,2021-09-30,510000,-002,-001,615,174,035,-006,-001,0.0%,50019,50019,-5.5%,-34266,-109294,100.0%,28.3%,-7526.2%,5.7%,5.7%,31.4%,001,-058,020,11547000,0,524000,324582000,324582000,-557401000,2322000,657000,-174758000,869000,820000,-496000,,,,,,
HGTX3,HGTX3,ON N1,CIA HERING ON N1,"Tecidos, Vestuário e Calçados",Vestuário,37.50,2021-09-17,14.34,40.57,0,6095030000,6146650000,2021-09-30,162534000,10199,357,10587,418,248,750,993,0.3%,4250,10677,-4.6%,037,1049,40.6%,3.9%,4.1%,2.3%,3.0%,3.5%,247,012,059,2457830000,150384000,1366760000,202010000,51626000,1704940000,1458710000,57571000,59761000,395654000,-25508000,-22643000,,,,,,
HGTX4,HGTX4,PN N1,CIA HERING PN N1,"Tecidos, Vestuário e Calçados",Vestuário,9.60,2007-05-15,0.00,0.00,0,1560330000,1611950000,2021-09-30,162534000,2611,092,2710,107,063,192,254,0.0%,1115,2800,-4.6%,037,1049,40.6%,3.9%,4.1%,2.3%,3.0%,3.5%,247,012,059,2457830000,150384000,1366760000,202010000,51626000,1704940000,1458710000,57571000,59761000,395654000,-25508000,-22643000,,,,,,
HOOT4,HOOT4,PN,HOTEIS OTHON S.A. PN,Hoteis e Restaurantes,Hotelaria,2.80,2022-01-25,2.55,5.50,14342,51441600,48666600,2021-09-30,18372000,-111,-011,-175,155,011,-008,-005,0.0%,-264,-166,-28.4%,-253,-2539,60.3%,-88.5%,-139.9%,-6.2%,-6.4%,10.0%,004,-000,007,474110000,3995000,25469000,1220000,-2775000,-466395000,33174000,-29363000,-46426000,9775000,-4211000,1367000,,,,,,
HYPE3,HYPE3,ON,HYPERA ON,Comércio e Distribuição,Medicamentos e Outros Produtos,29.46,2022-01-25,26.56,36.36,89951200,18660600000,22933200000,2021-09-30,633421000,1444,193,1158,343,093,548,-529,4.2%,1318,1423,9.3%,204,1528,64.0%,29.6%,23.7%,8.0%,9.7%,13.4%,199,077,027,20052500000,3142480000,6842340000,7415130000,4272660000,9680530000,5445730000,1611750000,1292670000,1632640000,532140000,201704000,,,,,,
