,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
FLCL3,FLCL3,ON,CATAG LEOPOLDINA ON,,,11.50,2007-04-05,0.00,0.00,0,5183200000,5330390000,2011-03-31,450713000000,13420,7108,7540,1309,1296,16600,-3221,0.0%,7754,7754,-29.6%,009,016,30.6%,17.4%,9.8%,17.2%,22.9%,53.0%,123,296,099,399961000,68663000,166102000,215852000,147189000,72920000,395853000,68746000,38623000,105965000,21729000,11995000,,,,,,
FLCL5,FLCL5,PNA,CATAG LEOPOLDINA PNA,,,12.50,2007-04-05,0.00,0.00,0,5633920000,5781110000,2011-03-31,450713000000,14587,7726,8195,1423,1409,18044,-3501,0.0%,8409,8409,-29.6%,009,016,30.6%,17.4%,9.8%,17.2%,22.9%,53.0%,123,296,099,399961000,68663000,166102000,215852000,147189000,72920000,395853000,68746000,38623000,105965000,21729000,11995000,,,,,,
FLCL6,FLCL6,PNB,CATAG LEOPOLDINA PNB,,,9.91,2007-03-30,0.00,0.00,0,4466570000,4613760000,2011-03-31,450713000000,11565,6125,6497,1128,1117,14305,-2775,0.0%,6711,6711,-29.6%,009,016,30.6%,17.4%,9.8%,17.2%,22.9%,53.0%,123,296,099,399961000,68663000,166102000,215852000,147189000,72920000,395853000,68746000,38623000,105965000,21729000,11995000,,,,,,
FLRY3,FLRY3,ON NM,FLEURY ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,19.04,2022-01-25,15.89,27.89,34894200,6053650000,8116580000,2021-09-30,317944000,1446,334,843,160,099,830,-254,3.8%,739,1131,10.9%,132,571,30.6%,19.0%,11.1%,11.8%,14.8%,23.1%,162,167,062,6105850000,964742000,1901070000,3027660000,2062920000,1814990000,3782860000,717913000,418592000,1028830000,186146000,94963000,,,,,,
FRAS3,FRAS3,ON,FRAS-LE S.A. ON,Material de Transporte,Material Rodoviário,12.47,2022-01-25,10.11,17.18,2563290,2713050000,3335260000,2021-09-30,217566000,854,247,806,109,087,328,-713,2.4%,745,991,29.9%,146,504,29.8%,13.5%,12.7%,10.8%,14.0%,28.9%,205,089,080,3103600000,349805000,1615530000,972020000,622215000,1097400000,2492390000,336660000,317626000,657289000,93623000,83719000,,,,,,
FRAS4,FRAS4,PN,FRAS-LE S.A. PN,Material de Transporte,Material Rodoviário,5.79,2014-01-06,0.00,0.00,0,1259710000,1881920000,2021-09-30,217566000,397,115,374,051,041,152,-331,0.0%,420,559,29.9%,146,504,29.8%,13.5%,12.7%,10.8%,14.0%,28.9%,205,089,080,3103600000,349805000,1615530000,972020000,622215000,1097400000,2492390000,336660000,317626000,657289000,93623000,83719000,,,,,,
FRIO3,FRIO3,ON NM,Metalfrio ON NM,Máquinas e Equipamentos,Máq. e Equip. Industriais,50.59,2021-12-27,41.00,93.49,790,207773000,1100050000,2021-09-30,4107000,-1197,-184,314,011,012,-255,-038,0.0%,839,1662,17.3%,-422,-2743,15.5%,3.5%,0.2%,3.7%,6.4%,15.4%,094,-1109,105,1789160000,357044000,1266470000,1249320000,892272000,-112663000,1873880000,66186000,-17352000,414887000,4328000,-37053000,,,,,,
FRTA3,FRTA3,ON NM,POMIFRUTAS ON NM,Agropecuária,Agricultura,4.92,2022-01-25,4.89,10.75,23914,10103700,71440700,2021-09-30,2053610,-6604,-016,-3728,058,030,-012,-011,0.0%,-26362,-26362,-27.8%,-007,-3153,27.6%,-1.6%,-0.9%,-0.8%,-1.0%,0.2%,006,-096,051,33970000,1022000,5474000,62359000,61337000,-64752000,17336000,-271000,-153000,3951000,-8620000,-7805000,,,,,,
FTRX3,FTRX3,ON,FAB TECIDOS C RENAUX ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,0.13,2013-07-10,0.00,0.00,0,3097510,28172500,2013-03-31,23827000,-015,-002,-019,021,002,-004,-001,0.0%,-227,-177,-31.3%,-088,-649,-68.6%,-106.2%,-138.8%,-11.8%,-12.0%,13.5%,006,-016,011,134686000,33000,5322000,25108000,25075000,-154535000,15022000,-15956000,-20855000,3390000,-3887000,8681000,,,,,,
FTRX4,FTRX4,PN,FAB TECIDOS C RENAUX PN,"Tecidos, Vestuário e Calçados",Fios e Tecidos,0.11,2013-07-08,0.00,0.00,0,2620970,27696000,2013-03-31,23827000,-013,-002,-016,017,002,-003,-001,0.0%,-224,-174,-31.3%,-088,-649,-68.6%,-106.2%,-138.8%,-11.8%,-12.0%,13.5%,006,-016,011,134686000,33000,5322000,25108000,25075000,-154535000,15022000,-15956000,-20855000,3390000,-3887000,8681000,,,,,,
GAFP3,GAFP3,ON,CIMOB ON,Construção Civil,Incorporações,0.12,2004-12-08,0.00,0.00,0,1185840,116142000,2009-09-30,9882000,-004,-001,-048,037,002,-009,-001,0.0%,-4692,-4692,-58.1%,-317,-817,38.4%,-77.6%,-981.3%,-3.2%,-3.2%,38.8%,051,-143,004,77845000,164283,14083700,115121000,114956000,-80712500,3190760,-2475080,-31310400,548711,-145228,-244897,,,,,,
GAFP4,GAFP4,PN,CIMOB PN,Construção Civil,Incorporações,0.05,2004-12-08,0.00,0.00,0,494100,115450000,2009-09-30,9882000,-002,-001,-020,015,001,-004,-000,0.0%,-4665,-4665,-58.1%,-317,-817,38.4%,-77.6%,-981.3%,-3.2%,-3.2%,38.8%,051,-143,004,77845000,164283,14083700,115121000,114956000,-80712500,3190760,-2475080,-31310400,548711,-145228,-244897,,,,,,
GALO3,GALO3,ON,EMEEGE ESCAPAMENTOS ON,,,0.00,1899-12-30,0.00,0.00,0,0,-1000,2004-03-31,0,000,000,-,-,-,-,-,0.0%,-000,-000,-29.0%,000,000,95.1%,14.0%,-184.6%,37.8%,39.4%,7.6%,000,-,270,926000,1000,109000,0,-1000,-60607000,2503000,350000,-4620000,119000,-177000,-1298000,,,,,,
GALO4,GALO4,PN,EMEEGE ESCAPAMENTOS PN,,,0.25,2004-06-17,0.00,0.00,0,0,-1000,2004-03-31,0,000,000,-,-,-,-,-,0.0%,-000,-000,-29.0%,000,000,95.1%,14.0%,-184.6%,37.8%,39.4%,7.6%,000,-,270,926000,1000,109000,0,-1000,-60607000,2503000,350000,-4620000,119000,-177000,-1298000,,,,,,
GAZO3,GAZO3,ON,GAZOLA SA INDÚSTRIA METALURGICA ON,,,3.40,2010-04-13,0.00,0.00,0,4953800,5636680,2011-09-30,1457000,045,-005,126,-207,030,-067,-004,0.0%,143,143,-28.2%,747,-7046,-105.1%,-164.0%,-454.5%,23.9%,25.1%,-10.6%,035,-001,-015,16472800,895,3901870,683770,682875,-102667000,-2395770,3929000,10888200,240379,-135437,-137963,,,,,,
GAZO4,GAZO4,PN,GAZOLA SA INDÚSTRIA METALURGICA PN,,,2.32,2010-04-15,0.00,0.00,0,3380240,4063120,2011-09-30,1457000,031,-003,086,-141,021,-046,-003,0.0%,103,103,-28.2%,747,-7046,-105.1%,-164.0%,-454.5%,23.9%,25.1%,-10.6%,035,-001,-015,16472800,895,3901870,683770,682875,-102667000,-2395770,3929000,10888200,240379,-135437,-137963,,,,,,
GBIO33,GBIO33,DR3,BIOTOSCANA DR3,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,10.40,2020-08-27,9.87,10.40,0,1108870000,1315840000,2020-06-30,106622000,-1497,132,1353,152,079,757,1758,0.0%,1606,1606,-9.0%,-069,786,43.5%,11.2%,-10.1%,5.8%,7.1%,-8.8%,131,031,052,1401470000,56787500,626114000,263755000,206967000,838439000,730703000,81927400,-74069400,194393000,15522100,-7355130,,,,,,
GEPA3,GEPA3,ON,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA ON",Energia Elétrica,Energia Elétrica,32.00,2022-01-24,31.50,39.70,1254,3021860000,4158480000,2021-09-30,94433000,624,158,296,233,078,-511,-183,9.2%,370,407,-1.0%,513,2022,83.3%,78.9%,37.4%,26.5%,31.3%,25.4%,034,065,034,3861610000,113517000,303546000,1250140000,1136620000,1909890000,1295520000,1022370000,484234000,404557000,-514000,-13607000,,,,,,
GEPA4,GEPA4,PN,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA PN",Energia Elétrica,Energia Elétrica,32.01,2022-01-25,31.52,38.49,14021,3022800000,4159420000,2021-09-30,94433000,624,158,296,233,078,-511,-183,9.2%,370,407,-1.0%,513,2022,83.3%,78.9%,37.4%,26.5%,31.3%,25.4%,034,065,034,3861610000,113517000,303546000,1250140000,1136620000,1909890000,1295520000,1022370000,484234000,404557000,-514000,-13607000,,,,,,
GETI3,GETI3,ON,AES TIETE SA ON,Energia Elétrica,Energia Elétrica,14.45,2015-12-30,0.00,0.00,0,5509110000,6465350000,2015-09-30,381253000,1319,344,698,192,131,-1563,-319,0.0%,676,820,13.4%,110,420,27.4%,27.4%,14.5%,18.8%,22.7%,26.1%,071,086,069,4193700000,422535000,867469000,1378780000,956242000,1601130000,2875720000,788843000,417673000,631968000,295815000,167413000,,,,,,
GETI4,GETI4,PN,AES TIETE SA PN,Energia Elétrica,Energia Elétrica,14.46,2015-12-30,0.00,0.00,0,5512920000,6469160000,2015-09-30,381253000,1320,344,699,192,131,-1564,-320,0.0%,676,820,13.4%,110,420,27.4%,27.4%,14.5%,18.8%,22.7%,26.1%,071,086,069,4193700000,422535000,867469000,1378780000,956242000,1601130000,2875720000,788843000,417673000,631968000,295815000,167413000,,,,,,
GETT3,GETT3,ON,GETNET BR ON,Serviços Financeiros Diversos,Serviços Financeiros Diversos,1.60,2022-01-25,1.60,6.58,901966,2986760000,3873240000,2021-09-30,1866720000,000,089,-,-,006,198,209,0.0%,-,-,-,000,181,-,-,-,0.0%,-,-,103,069,-,51725400000,1428540000,49775900000,2315030000,886487000,3373650000,0,0,0,763518000,160881000,88405000,,,,,,
GETT4,GETT4,PN,GETNET BR PN,Serviços Financeiros Diversos,Serviços Financeiros Diversos,1.62,2022-01-25,1.46,5.10,827241,3024090000,3910580000,2021-09-30,1866720000,000,090,-,-,006,200,212,0.0%,-,-,-,000,181,-,-,-,0.0%,-,-,103,069,-,51725400000,1428540000,49775900000,2315030000,886487000,3373650000,0,0,0,763518000,160881000,88405000,,,,,,
GFSA3,GFSA3,ON,GAFISA ON,Construção Civil,Incorporações,1.89,2022-01-25,1.66,5.91,14868200,637773000,1373200000,2021-09-30,337446000,1041,036,514,054,015,037,123,0.0%,988,1108,5.9%,018,523,25.1%,10.5%,5.2%,3.0%,3.5%,3.5%,244,067,028,4143860000,454154000,2894250000,1189580000,735423000,1765520000,1176020000,123960000,61241000,166754000,31790000,6187000,,,,,,
GGBR3,GGBR3,ON N1,GERDAU S.A. ON N1,Siderurgia e Metalurgia,Siderurgia,22.35,2022-01-25,16.96,27.19,1312330,38434400000,47124800000,2021-09-30,1719660000,296,094,235,055,051,172,2759,13.7%,250,289,13.1%,756,2389,26.0%,23.2%,18.5%,21.7%,27.4%,31.6%,270,042,093,75362200000,8430580000,35456800000,17121100000,8690470000,41083000000,70410300000,16333800000,12994000000,21317100000,5891680000,5577820000,,,,,,
GGBR4,GGBR4,PN N1,GERDAU S.A. PN N1,Siderurgia e Metalurgia,Siderurgia,27.39,2022-01-25,20.52,33.77,296784000,47101500000,55791900000,2021-09-30,1719660000,362,115,288,067,063,211,3381,11.2%,296,342,13.1%,756,2389,26.0%,23.2%,18.5%,21.7%,27.4%,31.6%,270,042,093,75362200000,8430580000,35456800000,17121100000,8690470000,41083000000,70410300000,16333800000,12994000000,21317100000,5891680000,5577820000,,,,,,
