,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m,RankEV_Ebit,RankROIC,volumeDiario,Rankfim
SUZB3,SUZB3,ON,Suzano Papel ON,Madeira e Papel,Papel e Celulose,56.71,2022-01-25,47.81,78.24,360358000,77197300000,135655000000,2021-09-30,1361260000,631,571,555,206,068,372,-110,1.3%,650,0.975,41.4%,899,993,47.2%,37.1%,32.6%,12.3%,15.2%,90.5%,332,571,033,113383000000,18690000000,29686000000,77147900000,58457900000,13518500000,37508400000,13920300000,12231200000,10761900000,4564250000,-961974000,,,,,,,105.0,144.0,9008950.0,249.0
BEEF3,BEEF3,ON NM,Minerva ON NM,Alimentos Processados,Carnes e Derivados,9.74,2022-01-25,7.53,10.82,62791300,5914940000,11730000000,2021-09-30,607283000,1051,1224,306,024,029,085,-109,10.0%,520,0.6060000000000001,20.8%,093,080,17.1%,7.7%,2.2%,9.5%,21.9%,116.5%,192,2866,123,20393200000,8030710000,14491500000,13845700000,5815020000,483053000,25162400000,1935970000,562718000,7368240000,543378000,72374000,,,,,,,151.0,99.0,1569782.5,250.0
EGIE3,EGIE3,ON,ENGIE BRASIL ON,Energia Elétrica,Energia Elétrica,39.39,2022-01-25,36.10,43.83,45001400,32139400000,46750200000,2021-09-30,815928000,1277,408,551,237,083,1190,-144,4.5%,691,0.8009999999999999,18.7%,308,966,45.5%,43.1%,18.6%,15.0%,17.6%,31.9%,146,244,035,38840700000,4639450000,8598380000,19250300000,14610800000,7882900000,13541100000,5834840000,2516400000,3388850000,1306880000,638700000,,,,,,,123.5,128.5,1125035.0,252.0
MRFG3,MRFG3,ON NM,Marfrig ON NM,Alimentos Processados,Carnes e Derivados,23.63,2022-01-25,11.25,26.22,139907000,16337100000,30703600000,2021-09-30,691370000,336,336,149,020,035,183,-109,12.3%,246,0.27999999999999997,47.4%,703,704,18.7%,13.8%,8.5%,23.3%,38.6%,99.9%,154,616,169,47109800000,15600800000,25488900000,29967300000,14366500000,4866930000,79713400000,10968100000,4863320000,23637800000,4348000000,1675240000,,,,,,,188.0,65.0,3497675.0,253.0
VBBR3,VBBR3,ON,VIBRA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",21.54,2022-01-25,17.45,28.99,173179000,25094100000,33852100000,2021-09-30,1165000000,543,222,798,022,085,275,-817,9.4%,914,1.076,3.9%,397,969,5.4%,2.7%,4.0%,10.6%,12.8%,40.9%,249,096,390,29562000000,2030000000,15205000000,10788000000,8758000000,11287000000,115144000000,3146000000,4620000000,35694000000,667000000,598000000,,,,,,,94.0,160.5,4329475.0,254.5
BOAS3,BOAS3,ON NM,BOA VISTA ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,5.52,2022-01-25,4.98,13.87,8318070,2933550000,1809710000,2021-09-30,531440000,2074,147,1830,410,114,240,356,1.6%,556,1.129,12.8%,027,377,49.8%,22.4%,19.8%,6.2%,12.2%,7.1%,770,005,028,2582820000,1233740000,1405130000,109897000,-1123840000,2001970000,716032000,160319000,141424000,196888000,53863000,49782000,,,,,,,88.0,167.5,207951.75,255.5
CSNA3,CSNA3,ON,CSN ON,Siderurgia e Metalurgia,Siderurgia,25.41,2022-01-25,19.68,50.03,291261000,35257000000,46494200000,2021-09-30,1387520000,234,175,180,074,046,309,-184,8.3%,208,0.23700000000000002,23.6%,1087,1455,47.6%,41.5%,34.7%,25.8%,38.4%,74.7%,151,147,062,76072000000,18445700000,33609000000,29682900000,11237200000,20194800000,47345200000,19631700000,15084500000,10246200000,3542180000,1149540000,,,,,,,194.0,67.0,7281525.0,261.0
BMOB3,BMOB3,ON NM,BEMOBI TECH ON NM,Programas e Serviços,Programas e Serviços,13.78,2022-01-25,12.17,26.61,14078500,1252730000,623067000,2021-09-30,90909100,1856,123,1333,419,107,174,191,0.0%,459,0.663,-,074,1124,55.4%,31.4%,22.6%,8.1%,18.9%,6.6%,1019,-,026,1167020000,629660000,800376000,0,-629660000,1021590000,298961000,93956000,67489000,75669000,19246000,18984000,,,,,,,144.0,118.5,351962.5,262.5
RANI3,RANI3,ON,CELULOSE IRANI ON,Madeira e Papel,Papel e Celulose,6.35,2022-01-25,5.25,9.49,8090190,1630170000,1902740000,2021-09-30,256720000,637,171,432,110,078,337,-507,5.6%,408,0.504,12.5%,100,372,37.4%,25.5%,17.3%,18.0%,23.6%,26.8%,245,067,071,2094360000,363177000,818868000,635739000,272562000,954241000,1482700000,377620000,255904000,432468000,131822000,97595000,,,,,,,170.0,94.0,202254.75,264.0
DXCO3,DXCO3,ON,DEXCO ON,Madeira e Papel,Madeira,13.70,2022-01-25,13.28,20.38,51695300,10425200000,12130600000,2021-09-30,760963000,721,173,688,133,084,552,-553,11.4%,545,0.8009999999999999,16.4%,190,790,34.5%,19.4%,18.5%,12.1%,15.4%,24.0%,170,052,063,12470900000,1406020000,4571760000,3111390000,1705360000,6013800000,7812960000,1514450000,1446010000,2177150000,429083000,255266000,,,,,,,123.5,143.0,1292382.5,266.5
