,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m,RankEV_Ebit,RankROIC,volumeDiario,Rankfim
ORVR3,ORVR3,ON NM,ORIZON ON NM,Água e Saneamento,Água e Saneamento,25.69,2022-01-25,19.70,30.54,9908480,1835550000,2094840000,2021-09-30,71450000,-2820,490,3634,479,199,1247,-1085,0.0%,2098,4.147,-,-091,524,37.5%,13.2%,-8.9%,5.5%,5.7%,-17.4%,166,071,041,924473000,5345000,370821000,264639000,259294000,374300000,383171000,50511000,-65085000,99841000,17451000,-2208000,,,,,,,18.0,39.0,247712.0,57.0
ENEV3,ENEV3,ON,ENEVA ON,Energia Elétrica,Energia Elétrica,12.89,2022-01-25,11.93,18.61,83290000,16323100000,22051000000,2021-09-30,1266340000,1191,190,1263,350,091,833,-276,0.0%,1171,1.706,13.0%,108,677,39.0%,27.7%,29.4%,7.2%,8.6%,16.0%,239,090,026,17846300000,2020660000,3364740000,7748540000,5727880000,8575330000,4665500000,1292840000,1370390000,1528090000,384998000,362619000,,,,,,,55.0,16.0,2082250.0,71.0
AMBP3,AMBP3,ON NM,AMBIPAR ON NM,Água e Saneamento,Água e Saneamento,36.47,2022-01-25,20.93,69.45,34921000,4118780000,5653280000,2021-09-30,112936000,3042,350,1689,282,087,549,-237,0.3%,1490,2.318,-,120,1042,21.3%,16.7%,9.8%,5.2%,6.8%,11.5%,182,213,031,4715590000,967179000,1662100000,2501680000,1534500000,1176380000,1460550000,243918000,135384000,615982000,87692000,38055000,,,,,,,39.0,33.0,873025.0,72.0
MULT3,MULT3,ON N2,Multiplan ON N2,Exploração de Imóveis,Exploração de Imóveis,20.41,2022-01-25,16.44,27.13,141804000,12261500000,14265200000,2021-09-30,600761000,3174,190,2212,1070,112,1246,-473,2.4%,1908,2.573,-0.5%,064,1076,77.2%,48.4%,33.7%,5.1%,5.8%,6.0%,212,049,010,10917000000,1177610000,1861290000,3181310000,2003700000,6462260000,1145570000,554317000,386351000,317086000,180350000,99404000,,,,,,,35.0,38.0,3545100.0,73.0
HYPE3,HYPE3,ON,HYPERA ON,Comércio e Distribuição,Medicamentos e Outros Produtos,29.46,2022-01-25,26.56,36.36,89951200,18660600000,22933200000,2021-09-30,633421000,1444,193,1158,343,093,548,-529,4.2%,1318,1.423,9.3%,204,1528,64.0%,29.6%,23.7%,8.0%,9.7%,13.4%,199,077,027,20052500000,3142480000,6842340000,7415130000,4272660000,9680530000,5445730000,1611750000,1292670000,1632640000,532140000,201704000,,,,,,,69.0,4.5,2248780.0,73.5
SQIA3,SQIA3,ON,SINQIA ON,Programas e Serviços,Programas e Serviços,16.22,2022-01-25,12.79,30.64,16129800,1426420000,1048620000,2021-09-30,87942000,12242,179,4797,464,114,251,632,0.1%,1529,3.5269999999999997,24.6%,013,908,38.9%,9.7%,4.3%,2.4%,4.8%,1.5%,656,030,025,1246680000,619632000,671219000,241829000,-377803000,798855000,307160000,29735000,11652000,92055000,16461000,2965000,,,,,,,22.0,53.0,403245.0,75.0
STBP3,STBP3,ON NM,SBPAR ON NM,Transporte,Serviços de Apoio e Armazenagem,6.41,2022-01-25,4.96,9.56,33285500,5530740000,4813130000,2021-09-30,862831000,3211,245,1907,409,116,598,-486,4.1%,1027,1.659,10.2%,020,262,37.7%,21.5%,12.7%,6.1%,8.2%,7.6%,317,018,028,4751090000,1126610000,1350810000,409002000,-717610000,2261990000,1351330000,290049000,172247000,396561000,103153000,66625000,,,,,,,57.0,19.0,832137.5,76.0
SBFG3,SBFG3,ON,GRUPO SBF ON,Comércio,Produtos Diversos,22.84,2022-01-25,19.73,39.52,19411700,5550070000,7333680000,2021-09-30,242998000,2478,254,1841,123,078,335,-542,0.0%,1212,2.432,66.7%,092,901,44.6%,6.7%,5.0%,4.2%,5.3%,10.2%,174,107,063,7118790000,560975000,3905060000,2344580000,1783610000,2189360000,4519840000,301498000,223974000,1491320000,169953000,221417000,,,,,,,37.0,44.0,485292.5,81.0
YDUQ3,YDUQ3,ON,YDUQS PART ON,Diversos,Serviços Educacionais,20.78,2022-01-25,18.06,35.50,59130900,6422870000,9694490000,2021-09-30,309089000,4945,192,1473,149,065,1251,-180,2.3%,867,2.224,5.7%,042,1083,54.1%,10.1%,3.0%,4.4%,5.6%,3.9%,121,154,043,9927810000,1897910000,3010860000,5169530000,3271620000,3346510000,4304070000,435990000,129880000,1098060000,158150000,72831000,,,,,,,44.0,40.5,1478272.5,84.5
PNVL3,PNVL3,ON,PANVEL FARMÁCIAS ON,Comércio e Distribuição,Medicamentos e Outros Produtos,12.68,2022-01-25,11.02,21.71,8015180,1906780000,2391290000,2021-09-30,150377000,2416,185,2519,061,085,304,2119,1.4%,1070,3.159,9.1%,052,685,30.4%,2.4%,2.5%,3.4%,4.4%,7.7%,191,067,139,2253830000,205527000,1314470000,690040000,484513000,1029350000,3135110000,75705000,78908000,802473000,21543000,15653000,,,,,,,25.0,60.5,200379.5,85.5
RAIL3,RAIL3,ON NM,RUMO S.A. ON NM,Transporte,Transporte Ferroviário,16.82,2022-01-25,15.65,21.70,184527000,31187000000,42669500000,2021-09-30,1854160000,5814,205,1676,411,067,435,-157,0.0%,1176,2.293,8.4%,029,820,31.1%,24.5%,7.2%,4.0%,5.0%,3.5%,294,130,016,46221700000,8343390000,10880400000,19825900000,11482500000,15208900000,7589380000,1861000000,536374000,1965570000,439453000,51039000,,,,,,,41.0,46.0,4613175.0,87.0
HAPV3,HAPV3,ON NM,HAPVIDA ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,12.02,2022-01-25,9.36,18.04,233081000,46776700000,46304300000,2021-09-30,3891570000,12013,441,8952,489,269,10549,-1522,0.3%,3208,8.862,37.4%,010,273,31.1%,5.5%,4.1%,3.0%,3.6%,3.7%,114,019,055,17404300000,2534500000,3710510000,2062080000,-472415000,10615600000,9557970000,522519000,389385000,2558880000,34370000,43191000,,,,,,,12.0,78.0,5827025.0,90.0
UGPA3,UGPA3,ON,ULTRAPAR PARTICIPAÇÕES SA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",14.01,2022-01-25,12.38,23.53,105570000,15622700000,28106400000,2021-09-30,1115110000,1743,159,864,015,042,195,-177,4.6%,893,1.5550000000000002,5.9%,080,878,6.1%,1.7%,0.9%,4.8%,7.2%,9.1%,177,186,288,37372300000,5741170000,18342900000,18224900000,12483700000,9795900000,107603000000,1807470000,896311000,31911100000,519743000,369203000,,,,,,,63.0,27.5,2639250.0,90.5
AALR3,AALR3,ON NM,ALLIAR ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,15.99,2022-01-25,8.63,18.65,14449100,1891510000,2506640000,2021-09-30,118293000,4921,157,1501,163,073,-4203,-237,0.0%,1009,1.989,-0.4%,032,1019,31.4%,10.9%,4.1%,4.8%,5.3%,3.2%,093,064,045,2604540000,152402000,566594000,767534000,615132000,1205650000,1159790000,126044000,38439000,298477000,38558000,5153000,,,,,,,49.0,44.0,361227.5,93.0
BRFS3,BRFS3,ON NM,BRF Foods ON NM,Alimentos Processados,Carnes e Derivados,23.25,2022-01-25,19.24,30.07,209295000,18890000000,35835600000,2021-09-30,812473000,4641,249,641,041,036,471,-089,0.0%,637,1.217,7.8%,050,935,21.6%,6.4%,0.9%,5.6%,9.1%,5.4%,120,318,087,53048800000,7233030000,24242200000,24178600000,16945600000,7599850000,46093000000,2945610000,407008000,12390000000,755214000,-282116000,,,,,,,82.5,11.0,5232375.0,93.5
GNDI3,GNDI3,ON NM,INTERMEDICA ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,69.30,2022-01-25,55.49,98.39,269193000,42984100000,44930600000,2021-09-30,620261000,-371065,604,9011,354,246,8244,-643,0.4%,5258,9.419,25.2%,-002,1147,18.5%,3.9%,-0.1%,2.7%,3.1%,-0.2%,117,053,069,17466000000,1832990000,3660280000,3779540000,1946550000,7116080000,12131600000,477037000,-11584000,3220490000,45370000,-90684000,,,,,,,11.0,84.0,6729825.0,95.0
CSAN3,CSAN3,ON,COSAN SA INDUSTRIA E COMERCIO ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",21.96,2022-01-25,18.23,26.74,139525000,41154600000,72546900000,2021-09-30,1874070000,753,291,1224,186,045,232,-109,2.9%,1426,2.1580000000000004,28.7%,292,756,26.2%,15.2%,26.7%,3.7%,4.7%,38.6%,292,332,024,90876700000,15628200000,26937500000,47020500000,31392300000,14162100000,22095100000,3361090000,5466000000,6890470000,1205120000,3264680000,,,,,,,45.0,54.0,3488125.0,99.0
VIVT3,VIVT3,ON,TELEF BRASIL ON,Telecomunicações,Telecomunicações,48.45,2022-01-25,39.44,51.60,97751500,81928200000,85908000000,2021-09-30,1690980000,1673,118,1508,187,072,5613,-407,7.1%,496,1.581,0.3%,290,4101,45.0%,12.4%,11.2%,4.8%,5.6%,7.1%,107,018,039,113253000000,8727810000,23710200000,12707600000,3979750000,69350500000,43724500000,5432520000,4897640000,11033300000,1299320000,1317770000,,,,,,,61.0,40.5,2443787.5,101.5
HBSA3,HBSA3,ON NM,HIDROVIAS ON NM,Transporte,Transporte Hidroviário,2.94,2022-01-25,2.62,7.02,10808600,2235530000,6277820000,2021-09-30,760383000,-1944,157,1139,173,036,471,-060,0.0%,1248,3.199,36.3%,-015,188,35.0%,15.2%,-8.9%,3.2%,3.5%,-8.1%,192,310,021,6174540000,384439000,992476000,4426730000,4042290000,1427680000,1290940000,196244000,-114998000,266810000,-15901000,-66893000,,,,,,,24.0,80.0,270215.0,104.0
EZTC3,EZTC3,ON NM,EZTec ON NM,Construção Civil,Incorporações,20.65,2022-01-25,17.60,38.67,46773800,4687550000,3675990000,2021-09-30,227000000,943,107,1710,449,093,251,289,2.1%,1322,1.341,11.4%,219,1934,45.0%,26.3%,49.6%,5.4%,6.9%,11.3%,645,000,021,5059990000,1030150000,2212810000,18591000,-1011560000,4389920000,1043690000,274203000,497298000,297752000,98761000,145247000,,,,,,,73.0,31.5,1169345.0,104.5
MDIA3,MDIA3,ON NM,M.DIASBRANCO ON NM,Alimentos Processados,Alimentos Diversos,23.43,2022-01-25,22.62,33.62,27702500,7942770000,7909850000,2021-09-30,339000000,1411,115,2294,108,075,247,808,0.9%,1266,2.285,8.5%,166,2034,28.9%,4.7%,7.7%,3.3%,4.3%,8.2%,320,027,069,10588100000,1881750000,4677800000,1848830000,-32919900,6893860000,7351190000,346228000,563011000,2179770000,231340000,196667000,,,,,,,43.0,62.5,692562.5,105.5
NTCO3,NTCO3,ON NM,GRUPO NATURA ON NM,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,23.24,2022-01-25,20.24,61.05,246906000,32061600000,39396400000,2021-09-30,1379590000,6050,115,1545,079,055,740,-234,0.0%,820,1.8990000000000002,2.9%,038,2019,64.9%,5.1%,1.3%,3.5%,4.4%,1.9%,134,046,069,58635300000,5358950000,17080400000,12693800000,7334870000,27849900000,40518700000,2074650000,529938000,9549220000,377362000,272869000,,,,,,,50.0,60.5,6172650.0,110.5
MGLU3,MGLU3,ON NM,MAGAZ LUIZA ON NM,Comércio,Eletrodomésticos,6.72,2022-01-25,5.74,26.22,886420000,45352800000,45599400000,2021-09-30,6748930000,6324,417,8430,126,148,695,23017,0.2%,3468,8.476,33.5%,011,161,23.9%,1.5%,2.0%,1.8%,2.8%,6.6%,149,022,118,30549500000,2105410000,19874000000,2352030000,246622000,10872500000,35943900000,537969000,717179000,8612030000,-278953000,143516000,,,,,,,13.0,104.5,22160500.0,117.5
TIMS3,TIMS3,ON NM,TIM ON NM,Telecomunicações,Telecomunicações,12.97,2022-01-25,10.99,14.14,74438600,31397800000,27440100000,2021-09-30,2420800000,1062,127,957,175,071,543,-467,3.3%,308,0.836,4.4%,122,1018,53.2%,18.3%,16.5%,7.5%,9.7%,12.0%,185,014,041,43978500000,7372410000,12611100000,3414670000,-3957740000,24641800000,17936600000,3280760000,2955300000,4511810000,811971000,992769000,,,,,,,115.0,4.5,1860965.0,119.5
AMAR3,AMAR3,ON NM,LOJAS MARISA ON NM,Comércio,"Tecidos, Vestuário e Calçados",3.27,2022-01-25,2.88,8.58,27640800,855651000,2073830000,2021-09-30,261667000,-878,092,338,035,025,346,-119,0.0%,385,0.82,-5.3%,-037,356,45.2%,10.4%,0.4%,7.5%,9.8%,-10.5%,117,160,072,3370920000,275437000,1719450000,1493620000,1218180000,931310000,2433780000,252901000,-97406000,654613000,70588000,44379000,,,,,,,118.0,2.5,691020.0,120.5
WEGE3,WEGE3,ON N1,WEG SA ON N1,Máquinas e Equipamentos,"Motores, Compressores e Outros",30.20,2022-01-25,28.56,44.02,242043000,126759000000,125452000000,2021-09-30,4197320000,3670,994,2982,578,563,1758,2355,1.4%,2640,2.952,23.1%,082,304,30.8%,19.4%,16.1%,18.9%,24.2%,27.1%,196,013,097,22500300000,2942360000,14743200000,1635210000,-1307150000,12750400000,21913200000,4250130000,3454120000,6198240000,1123210000,812925000,,,,,,,29.0,92.0,6051075.0,121.0
ANIM3,ANIM3,ON NM,ANIMA ON NM,Diversos,Serviços Educacionais,7.74,2022-01-25,6.60,14.30,26912400,3125950000,7517090000,2021-09-30,403869000,8893,121,1002,142,030,823,-051,0.0%,1196,2.41,19.4%,009,638,55.2%,14.2%,1.8%,3.0%,3.3%,1.4%,131,200,021,10317000000,759471000,1615160000,5150610000,4391140000,2577160000,2194550000,311942000,35151000,816681000,93477000,13184000,,,,,,,38.0,83.0,672810.0,121.0
AMER3,AMER3,ON,AMERICANAS ON,Comércio,Produtos Diversos,35.30,2022-01-25,26.67,90.39,227218000,31902800000,35562400000,2021-09-30,903761000,45738,204,5002,188,074,314,-1044,0.0%,2209,5.5760000000000005,19.8%,008,1733,29.8%,3.8%,0.4%,1.5%,2.5%,0.4%,170,085,039,43332000000,9708440000,24612600000,13368100000,3659680000,15663400000,16929900000,637753000,69751000,6277260000,311215000,240551000,,,,,,,14.0,107.0,5680450.0,121.0
SBSP3,SBSP3,ON NM,SABESP ON NM,Água e Saneamento,Água e Saneamento,35.64,2022-01-25,31.69,42.78,88816700,24360300000,38130300000,2021-09-30,683510000,948,099,540,126,046,2638,-113,1.1%,569,0.845,7.5%,376,3585,35.6%,23.4%,13.3%,8.5%,9.3%,10.5%,115,073,036,53076400000,4147640000,7061470000,17917700000,13770000000,24505800000,19311400000,4514310000,2569970000,5153920000,1220420000,468531000,,,,,,,113.0,9.0,2220417.5,122.0
SOMA3,SOMA3,ON NM,GRUPO SOMA ON NM,Comércio,"Tecidos, Vestuário e Calçados",12.40,2022-01-25,10.26,20.20,56300800,9730860000,10450900000,2021-09-30,784747000,3302,136,4486,475,102,615,2692,0.0%,3104,4.818,-,038,914,63.9%,10.6%,14.4%,2.3%,2.5%,4.1%,240,014,022,9523190000,268291000,2711210000,988320000,720029000,7173400000,2049390000,216927000,294730000,714270000,96114000,173803000,,,,,,,16.0,107.0,1407520.0,123.0
ALSO3,ALSO3,ON,ALIANSCSONAE ON,Exploração de Imóveis,Exploração de Imóveis,22.12,2022-01-25,18.08,32.07,32309000,5878900000,6745090000,2021-09-30,265773000,3576,088,1545,670,053,479,-369,1.0%,1181,1.7719999999999998,31.7%,062,2519,66.4%,43.4%,22.6%,3.4%,3.9%,2.5%,318,032,008,11136900000,1307810000,1788760000,2174000000,866188000,6693810000,877645000,380551000,164410000,239454000,116956000,60584000,,,,,,,52.0,75.5,807725.0,127.5
EMBR3,EMBR3,ON,EMBRAER ON,Material de Transporte,Material Aeronáutico e de Defesa,20.76,2022-01-25,8.65,26.05,224579000,15372100000,25463300000,2021-09-30,740465000,-5238,105,780,058,027,092,-182,0.0%,804,1.2930000000000001,2.4%,-040,1983,15.3%,7.5%,-1.1%,3.5%,4.9%,-2.0%,204,160,047,56475700000,13338000000,32744300000,23429300000,10091300000,14686800000,26378700000,1969700000,-293454000,5010380000,448218000,-234300000,,,,,,,77.0,52.0,5614475.0,129.0
CYRE3,CYRE3,PN,CYRELA BRAZIL REALTY PN,Construção Civil,Incorporações,16.33,2022-01-25,13.17,27.52,116821000,6527800000,7720370000,2021-09-30,399743000,681,105,842,144,050,127,898,6.7%,941,0.9959999999999999,15.0%,240,1551,34.5%,17.1%,22.9%,5.9%,7.2%,15.5%,341,055,034,13163000000,2210400000,7285660000,3402960000,1192560000,6198680000,4530720000,775022000,958037000,1288340000,229964000,237546000,,,,,,,102.0,27.5,2920525.0,129.5
LOGG3,LOGG3,ON NM,LOG COM PROP ON NM,Exploração de Imóveis,Exploração de Imóveis,28.50,2022-01-25,22.01,34.25,20089700,2911530000,3889320000,2021-09-30,102159000,920,088,2669,1980,056,515,-371,1.1%,3539,3.565,11.8%,310,3244,98.6%,74.2%,225.8%,2.1%,2.3%,9.5%,220,040,003,5163120000,364186000,1036160000,1341970000,977786000,3314120000,147069000,109092000,316378000,37005000,27158000,94658000,,,,,,,21.0,110.0,502242.5,131.0
BRML3,BRML3,ON,BR MALLS PARTICIPAÇÔES S/A ON,Exploração de Imóveis,Exploração de Imóveis,9.28,2022-01-25,6.97,11.80,195133000,8102750000,10566400000,2021-09-30,873141000,4048,076,1330,789,042,530,-131,0.0%,1620,1.735,-6.2%,023,1227,90.4%,59.3%,16.0%,3.1%,3.4%,1.9%,394,038,005,19408900000,1622960000,2047780000,4086600000,2463640000,10717700000,1027520000,609077000,200153000,291742000,178641000,57149000,,,,,,,54.0,82.0,4878325.0,136.0
TRIS3,TRIS3,ON NM,Trisul ON NM,Construção Civil,Incorporações,5.93,2022-01-25,5.16,11.17,9442720,1106640000,1310130000,2021-09-30,186618000,696,089,596,129,048,088,151,4.1%,702,0.705,22.8%,085,665,37.6%,21.7%,20.5%,8.0%,9.9%,12.8%,350,048,037,2321400000,394194000,1756130000,597678000,203484000,1241240000,856127000,185709000,159088000,190230000,40267000,33100000,,,,,,,135.0,1.0,236068.0,136.0
MRVE3,MRVE3,ON NM,MRV ON NM,Construção Civil,Incorporações,12.53,2022-01-25,10.01,19.62,62797700,6054910000,9799750000,2021-09-30,483233000,864,101,800,088,031,117,-165,3.5%,1104,1.295,11.3%,145,1240,27.2%,10.9%,11.3%,3.8%,4.3%,11.7%,217,083,035,19668000000,1207330000,9635460000,4952160000,3744840000,5993850000,6916650000,756681000,700883000,1800100000,196388000,165161000,,,,,,,76.0,62.5,1569942.5,138.5
VIIA3,VIIA3,ON,VIA ON,Comércio,Eletrodomésticos,4.35,2022-01-25,3.75,16.03,193429000,6953150000,15392200000,2021-09-30,1598430000,69532,123,669,022,020,-902,-065,0.0%,775,1.4809999999999999,5.3%,001,355,30.6%,3.2%,0.0%,3.0%,3.9%,0.2%,096,176,092,35089000000,1575000000,18789000000,10014000000,8439000000,5675000000,32242000000,1039000000,10000000,7349000000,-397000000,-638000000,,,,,,,65.0,75.5,4835725.0,140.5
GUAR3,GUAR3,ON,GUARARAPES CONFECÇÕES ON,Comércio,"Tecidos, Vestuário e Calçados",11.22,2022-01-25,8.49,22.07,12240800,5601020000,7272410000,2021-09-30,499200000,1084,109,2038,081,041,204,-1586,3.9%,892,2.646,1.2%,103,1034,51.0%,4.0%,7.4%,2.0%,2.5%,10.0%,152,068,051,13557600000,1829180000,8043180000,3500570000,1671390000,5161370000,6942900000,274890000,516544000,1815250000,65532000,207317000,,,,,,,34.0,107.0,306020.0,141.0
BRPR3,BRPR3,ON NM,BR PROPERTIES ON NM,Exploração de Imóveis,Exploração de Imóveis,7.05,2022-01-25,6.22,9.98,14072300,3342830000,5167090000,2021-09-30,474160000,1422,047,1489,1019,029,524,-110,2.9%,2285,2.3009999999999997,-8.2%,050,1509,100.0%,68.5%,71.7%,2.0%,2.2%,3.3%,203,041,003,11447300000,1110740000,1254040000,2935000000,1824260000,7154660000,327949000,224555000,235136000,83498000,55321000,38258000,,,,,,,40.0,111.0,351807.5,151.0
MYPK3,MYPK3,ON,IOCHPE-MAXION ON,Automóveis e Motocicletas,Automóveis e Motocicletas,14.90,2022-01-25,11.08,18.47,21477200,2290430000,6907880000,2021-09-30,153720000,730,056,259,018,016,135,-075,6.7%,469,0.78,11.0%,204,2650,12.5%,6.9%,3.3%,6.1%,7.7%,7.7%,132,138,088,14431500000,1006990000,6953970000,5624440000,4617460000,4074170000,12750400000,885711000,313605000,3583980000,320574000,177016000,,,,,,,128.0,24.0,536930.0,152.0
SYNE3,SYNE3,ON NM,SYN PROP TEC ON NM,Exploração de Imóveis,Exploração de Imóveis,7.18,2022-01-25,4.96,8.65,24647400,1095980000,2142650000,2021-09-30,152644000,3662,066,442,229,021,113,-122,1.1%,671,0.865,1.3%,020,1082,60.5%,51.7%,24.4%,4.8%,5.5%,1.8%,435,102,009,5130060000,632853000,1254080000,1679520000,1046670000,1651660000,478955000,247682000,29931000,124620000,69655000,9027000,,,,,,,111.0,42.0,616185.0,153.0
INTB3,INTB3,ON NM,INTELBRAS ON NM,Computadores e Equipamentos,Computadores e Equipamentos,29.29,2022-01-25,16.91,33.12,28523600,9595730000,9049350000,2021-09-30,327611000,2038,523,3473,337,305,598,756,0.6%,2909,3.275,-,144,560,28.7%,9.7%,16.5%,8.8%,17.4%,25.7%,268,022,091,3148290000,952075000,2563610000,405699000,-546376000,1834640000,2851610000,276322000,470766000,758978000,82370000,89229000,,,,,,,23.0,131.0,713090.0,154.0
BLAU3,BLAU3,ON NM,BLAU ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,33.30,2022-01-25,30.14,53.68,14041100,5973820000,5472220000,2021-09-30,179394000,1689,362,1223,441,252,428,572,0.7%,1076,1.1199999999999999,17.2%,197,920,50.2%,36.1%,26.1%,20.6%,37.6%,21.4%,476,030,057,2372650000,1004920000,1765420000,503318000,-501603000,1651170000,1354350000,488630000,353722000,319623000,110229000,94393000,,,,,,,89.0,69.0,351027.5,158.0
TEND3,TEND3,ON NM,Tenda ON NM,Construção Civil,Incorporações,16.28,2022-01-25,14.35,29.19,18785000,1698720000,1996720000,2021-09-30,104344000,1140,115,512,063,037,100,-554,1.1%,545,0.6020000000000001,19.6%,143,1419,26.8%,12.2%,5.4%,7.2%,9.6%,10.1%,256,090,059,4580950000,1041820000,2786960000,1339820000,298002000,1480680000,2708640000,331586000,149017000,721164000,45715000,6430000,,,,,,,155.5,6.0,469625.0,161.5
ODPV3,ODPV3,ON NM,ODONTOPREV ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,12.42,2022-01-25,11.74,16.43,19853800,6598680000,6263980000,2021-09-30,531295000,1751,584,1112,363,347,-261952,-3596,3.8%,1008,1.0550000000000002,6.7%,071,213,59.1%,32.6%,20.8%,31.2%,38.4%,33.4%,100,-,096,1900410000,334706000,581749000,0,-334706000,1129380000,1820040000,593583000,376765000,467067000,150555000,97803000,,,,,,,96.0,67.0,496345.0,163.0
DIRR3,DIRR3,ON NM,Direcional Engenharia ON NM,Construção Civil,Incorporações,12.54,2022-01-25,9.54,15.02,21670800,1881000000,2183450000,2021-09-30,150000000,1209,155,605,110,034,095,-114,5.6%,606,0.7020000000000001,20.5%,104,810,36.3%,18.1%,11.7%,5.6%,6.9%,12.8%,468,102,031,5520930000,934763000,2521400000,1237210000,302449000,1214780000,1714720000,311030000,155552000,453362000,78880000,47184000,,,,,,,136.0,31.5,541770.0,167.5
PRIO3,PRIO3,ON,PETRORIO ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",23.88,2022-01-25,13.82,28.15,416095000,21077600000,20576400000,2021-09-30,882646000,1791,371,1416,603,184,497,-7155,0.0%,886,1.3830000000000002,61.6%,133,644,51.6%,42.6%,33.7%,13.0%,22.2%,20.7%,446,071,031,11445200000,4526210000,5463660000,4025030000,-501182000,5686920000,3497720000,1488280000,1176840000,939517000,415952000,97104000,,,,,,,71.0,98.0,10402375.0,169.0
GFSA3,GFSA3,ON,GAFISA ON,Construção Civil,Incorporações,1.89,2022-01-25,1.66,5.91,14868200,637773000,1373200000,2021-09-30,337446000,1041,036,514,054,015,037,123,0.0%,988,1.108,5.9%,018,523,25.1%,10.5%,5.2%,3.0%,3.5%,3.5%,244,067,028,4143860000,454154000,2894250000,1189580000,735423000,1765520000,1176020000,123960000,61241000,166754000,31790000,6187000,,,,,,,90.0,80.0,371705.0,170.0
LIGT3,LIGT3,ON,LIGHT SA ON,Energia Elétrica,Energia Elétrica,10.98,2022-01-25,9.68,21.17,30734700,4090660000,11283100000,2021-09-30,372555000,539,047,219,027,015,093,-042,4.0%,448,0.603,7.6%,204,2349,21.0%,12.4%,5.0%,6.9%,8.5%,8.7%,205,122,056,27145000000,3497250000,8560120000,10689700000,7192400000,8749760000,15134900000,1870760000,759360000,3918160000,213115000,363991000,,,,,,,154.0,17.5,768367.5,171.5
VIVA3,VIVA3,ON NM,VIVARA S.A. ON NM,"Tecidos, Vestuário e Calçados",Acessórios,23.20,2022-01-25,21.50,34.24,25812300,5479790000,5304920000,2021-09-30,236198000,2071,408,1826,434,231,656,1463,1.4%,1449,1.768,27.0%,112,569,74.1%,23.8%,21.0%,12.7%,17.6%,19.7%,248,022,053,2368820000,465779000,1400600000,290905000,-174873000,1342840000,1262190000,300094000,264544000,337215000,66992200,86257700,,,,,,,53.0,128.5,645307.5,181.5
RENT3,RENT3,ON,LOCALIZA RENT A CAR ON,Diversos,Aluguel de carros,55.75,2022-01-25,45.21,69.17,447164000,42284500000,49540900000,2021-09-30,758467000,2111,566,1352,380,193,2706,-471,0.8%,1397,1.584,18.5%,264,984,40.7%,28.1%,18.0%,14.3%,18.1%,26.8%,140,144,051,21940000000,3497640000,5496790000,10754000000,7256400000,7465070000,11140400000,3128530000,2003380000,2772250000,1067320000,671398000,,,,,,,60.0,123.0,11179100.0,183.0
B3SA3,B3SA3,ON,B3 ON,Serviços Financeiros Diversos,Serviços Financeiros Diversos,13.32,2022-01-25,10.72,19.84,491663000,81598300000,71575600000,2021-09-30,6126000000,1728,361,1254,792,149,820,-1234,6.3%,944,1.1,33.8%,077,369,90.7%,63.2%,45.8%,11.9%,21.2%,20.9%,164,062,019,54807500000,23973900000,25600800000,13951200000,-10022700000,22580300000,10306000000,6509580000,4722880000,2513220000,1547930000,1176130000,,,,,,,92.0,101.0,12291575.0,193.0
PETZ3,PETZ3,ON NM,PETZ ON NM,Comércio,Produtos Diversos,16.78,2022-01-25,13.77,28.32,99673800,7699270000,7833390000,2021-09-30,458836000,10678,1315,4316,395,380,10776,-1032,0.2%,2217,4.391,-,016,128,47.6%,9.2%,3.7%,8.8%,11.1%,12.3%,111,051,096,2026800000,161861000,695338000,295980000,134119000,585296000,1947080000,178377000,72107000,545355000,59976000,22369000,,,,,,,17.0,180.0,2491845.0,197.0
